categoria;complejo;numero de partido;etapa;dia y horario;pareja
C5;REAL PADEL;41;16vos;VIERNES 19:15 HS;CASTELLANO / MUDANO vs VIDAL / ALDERETE
C5;REAL PADEL;42;16vos;VIERNES 19:15 HS;LAGORIA / RICCARDINI vs TONINI / MEDEN
C5;REAL PADEL;43;16vos;VIERNES 22:45 HS;SOLER / LAVALLE vs HARTMANN / PIRAGINE
C5;REAL PADEL;44;16vos;VIERNES 19:15 HS;CASTRO / BURGOS vs N. PEREZ / SLOWIAK
C5;REAL PADEL;45;16vos;VIERNES 18:00 HS;DABUNDO / DABUNDO vs MONTES / SEGOVIA
C5;REAL PADEL;46;16vos;VIERNES 22:45 HS;ARISTIMUÑO / I. MAIDANA vs SALAZAR / ALEGRE
C5;REAL PADEL;47;16vos;VIERNES 22:45 HS;VIERA / ASTUDILLO vs MONTES DE OCA / GARAY
C5;REAL PADEL;48;16vos;VIERNES 21:45 HS;GATTI / CAVAZZONI vs F. MALDONADO / BRASCHI
C5;REAL PADEL;49;16vos;VIERNES 18:00 HS;F. MALDONADO / BRASCHI vs HERNANDEZ / ANDRADE
C5;REAL PADEL;50;8vos;SABADO 14:15 HS;#34 vs #35
C5;REAL PADEL;51;8vos;SABADO 14:15 HS;#36 vs #37
C5;REAL PADEL;52;8vos;SABADO 17:00 HS;#38 vs #39
C5;REAL PADEL;53;8vos;SABADO 17:00 HS;#40 vs #41
C5;REAL PADEL;54;8vos;SABADO 15:30 HS;#42 vs #43
C5;REAL PADEL;55;8vos;SABADO 15:30 HS;#44 vs #45
C5;REAL PADEL;56;8vos;SABADO 14:15 HS;#46 vs #47
C5;REAL PADEL;57;8vos;SABADO 14:15 HS;#48 vs #49
C5;REAL PADEL;58;4tos;SABADO 21:00 HS;#50 vs #51
C5;REAL PADEL;59;4tos;SABADO 21:00 HS;#52 vs #53
C5;REAL PADEL;60;4tos;SABADO 19:45 HS;#54 vs #55
C5;REAL PADEL;61;4tos;SABADO 18:15 HS;#56 vs #57
C5;REAL PADEL;62;Semifinal;DOMINGO 13:30 HS;#58 vs #59
C5;REAL PADEL;63;Semifinal;DOMINGO 13:30 HS;#60 vs #61
C5;REAL PADEL;64;Final;DOMINGO 16:30 HS;#62 vs #63
